latin,english,french,spanish,chinese,cas,pl_list
zeteletinibum,zeteletinib,zétélétinib,zeteletinib,泽雷替尼,2216753-97-6,pl124
zilebesiranum,zilebesiran,zilébésiran,zilebesirán,齐贝司兰,2380166-33-4,pl124
zilovertamabum,zilovertamab,zilovertamab,zilovertamab,泽罗妥单抗,2202783-35-3,pl124
ugodotinum,ugodotin,ugodotine,ugodotina,,1820882-94-7,pl124
uzatansinum,uzatansine,uzatansine,uzatansina,,,pl124
adintrevimabum,adintrevimab,adintrévimab,adintrevimab,艾定韦单抗,2488626-93-1,pl125
alogabatum,alogabat,alogabat,alogabat,阿罗加巴特,2230009-48-8,pl125
alrefimotidum,alrefimotide,alréfimotide,alrefimotida,阿瑞莫肽,1331848-79-3,pl125
alrizomadlinum,alrizomadlin,alrizomadline,alrizomadlina,阿利德林,1818393-16-6,pl125
amdizalisibum,amdizalisib,amdizalisib,amdizalisib,安迪利塞,1894229-05-0,pl125
amubarvimabum,amubarvimab,amubarvimab,amubarvimab,安巴韦单抗,2509447-07-6,pl125
anselamimabum,anselamimab,ansélamimab,anselamimab,安赛埃单抗,2414866-63-8,pl125
anumigilimabum,anumigilimab,anumigilimab,anumigilimab,安米利单抗,2416593-08-1,pl125
atuliflaponum,atuliflapon,atuliflapon,atuliflapón,阿妥夫拉朋,2041075-86-7,pl125
atuzabrutinibum,atuzabrutinib,atuzabrutinib,atuzabrutinib,阿图布替尼,1581714-49-9,pl125
bafisontamabum,bafisontamab,bafisontamab,bafisontamab,巴弗妥单抗,2437210-79-0,pl125
barzolvolimabum,barzolvolimab,barzolvolimab,barzolvolimab,巴佐利单抗,2438203-51-9,pl125
bavdegalutamidum,bavdegalutamide,bavdégalutamide,bavdegalutamida,巴德鲁胺,2222112-77-6,pl125
baxdrostatum,baxdrostat,baxdrostat,baxdrostat,巴卓司他,1428652-17-8,pl125
belcesiranum,belcesiran,belcésiran,belcesirán,贝尔司兰,2375562-54-0,pl125
beludavimabum,beludavimab,béludavimab,beludavimab,贝芦达韦单抗,2423016-74-2,pl125
bemnifosbuvirum,bemnifosbuvir,bemnifosbuvir,bemnifosbuvir,贝尼磷布韦,1998705-64-8,pl125
bevurogantum,bevurogant,bévurogant,bevurogant,贝福洛更特,2365142-14-7,pl125
bofelisimerum,bofelisimer,bofélisimère,bofelisímero,博非司美,2364477-20-1,pl125
camizestrantum,camizestrant,camizestrant,camizestrant,卡米司群,2222844-89-3,pl125
cimdelirsenum,cimdelirsen,cimdélirsen,cimdelirsén,西地利生,2419918-89-9,pl125
davoceticeptum,davoceticept,davocéticept,davoceticept,达替西普,2307144-64-3,pl125
dazucorilantum,dazucorilant,dazucorilant,dazucorilant,达组可兰,1496508-34-9,pl125
denifanstatum,denifanstat,dénifanstat,denifanstat,地尼法司他,1399177-37-7,pl125
dexepicatechinum,dexepicatechin,dexépicatéchine,dexepicatechina,右表儿茶素,2416305-95-6,pl125
doxecitinum,doxecitine,doxécitine,doxecitina,多塞西亭,951-77-9,pl125
doxribtiminum,doxribtimine,doxribtimine,doxribtimina,多西替明,,pl125
dresbuxelimabum,dresbuxelimab,dresbuxélimab,dresbuxelimab,佐斯利单抗,2550560-20-6,pl125
eblasakimabum,eblasakimab,éblasakimab,eblasakimab,伊沙奇单抗,2445460-16-0,pl125
ecleralimabum,ecleralimab,écléralimab,ecleralimab,艾克莱利单抗,2574508-57-7,pl125
efzofitimodum,efzofitimod,efzofitimod,efzofitimod,依佐莫德,2566615-11-8,pl125
elranatamabum,elranatamab,elranatamab,elranatamab,埃纳妥单抗,2408850-14-4,pl125
elunonavirum,elunonavir,élunonavir,elunonavir,依鲁那韦,2242428-57-3,pl125
emlenoflastum,emlenoflast,emlénoflast,emlenoflast,恩利司特,1995067-59-8,pl125
emraclidinum,emraclidine,emraclidine,emraclidina,恩瑞利定,2417199-08-5,pl125
enuzovimabum,enuzovimab,énuzovimab,enuzovimab,恩佐韦单抗,2531098-91-4,pl125
eragidomidum,eragidomide,éragidomide,eragidomida,依瑞度胺,1860875-51-9,pl125
ersemadromcelum,ersemadromcel,ersémadromcel,ersemadromcel,艾斯阿托赛,,pl125
escibenzolinum,escibenzoline,escibenzoline,escibenzolina,艾司西苯唑啉,103419-18-7,pl125
evexomostatum,evexomostat,évexomostat,evexomostat,艾维莫司他,2416263-67-5,pl125
evifacotrepum,evifacotrep,évifacotrep,evifacotrep,艾法曲普,2413739-88-3,pl125
evixapodlinum,evixapodlin,évixapodline,evixapodlina,艾克普地林,2374856-75-2,pl125
exidavnemabum,exidavnemab,exidavnémab,exidavnemab,埃西达奈单抗,,pl125
antiparkinson,,,,,2438229-02-6,pl125
ezurpimtrostatum,ezurpimtrostat,ézurpimtrostat,ezurpimtrostat,依珠司他,1914148-72-3,pl125
famitinibum,famitinib,famitinib,famitinib,法米替尼,2407465-18-1,pl125
farudodstatum,farudodstat,farudodstat,farudodstat,法鲁德司他,1035688-66-4,pl125
fazulemeranum,fazulemeran,fazuléméran,fazulemerán,法莱米瑞,,pl125
factor,,,,,2417174-26-4,pl125
fidasimtamabum,fidasimtamab,fidasimtamab,fidasimtamab,菲达斯妥单抗,2377419-89-9,pl125
flumbatinib,flumbatinib,flumbatinib,flumbatinib,氟马替尼,895519-90-1,pl125
fobrepodacinum,fobrepodacin,fobrépodacine,fobrepodacina,福波达星,1384984-31-9,pl125
fosgonimetonum,fosgonimeton,fosgoniméton,fosgonimetón,福格美通,2129993-56-0,pl125
frenlosirsenum,frenlosirsen,frenlosirsen,frenlosirsén,福仑塞生,2304711-81-5,pl125
fuzuloparibum,fuzuloparib,fuzuloparib,fuzuloparib,氟唑帕利,1358715-18-0,pl125
gadoquatranum,gadoquatrane,gadoquatrane,gadoquatrane,钆四胺烷,2048221-65-2,pl125
galegenimabum,galegenimab,galégénimab,galegenimab,戈莱恩尼单抗,2403683-24-7,pl125
gartisertibum,gartisertib,gartisertib,gartisertib,加特色替,1613191-99-3,pl125
gemnelatinibum,gemnelatinib,gemnélatinib,gemnelatinib,吉奈替尼,2225123-30-6,pl125
ginisortamabum,ginisortamab,ginisortamab,ginisortamab,吉司妥单抗,2390147-17-6,pl125
golidocitinibum,golidocitinib,golidocitinib,golidocitinib,戈利昔替尼,2091134-68-6,pl125
gresonitamabum,gresonitamab,grésonitamab,gresonitamab,格瑞妥单抗,2413817-97-5,pl125
gumokimabum,gumokimab,gumokimab,gumokimab,古莫奇单抗,2428381-52-4,pl125
gunagratinibum,gunagratinib,gunagratinib,gunagratinib,古那替尼,34367-89-0,pl125
iclepertinum,iclepertin,iclépertine,iclepertina,依克哌汀,2370888-96-1,pl125
idrevloridum,idrevloride,idrévloride,idrevlorida,伊屈瑞德,2407582-19-6,pl125
ilunocitinibum,ilunocitinib,ilunocitinib,ilunocitinib,伊鲁昔替尼,1187594-14-4,pl125
inaxaplinum,inaxaplin,inaxapline,inaxaplina,伊那培林,2446816-88-0,pl125
inobrodibum,inobrodib,inobrodib,inobrodib,伊诺布地,2420475-06-3,pl125
iparomlimabum,iparomlimab,iparomlimab,iparomlimab,艾帕洛利单抗,2417649-33-1,pl125
irsenontrinum,irsenontrine,irsénontrine,irsenontrina,伊森纳群,1429509-82-9,pl125
ivicentamabum,ivicentamab,ivicentamab,ivicentamab,依维妥单抗,2364496-42-2,pl125
ivonescimabum,ivonescimab,ivonescimab,ivonescimab,依沃西单抗,2428381-53-5,pl125
ivospeminum,ivospemin,ivospémine,ivospemina,伊伏司培明,2418030-84-7,pl125
ledaborbactamum,ledaborbactam,lédaborbactam,ledaborbactam,来硼巴坦,2396411-71-3,pl125
lerapolturevum,lerapolturev,lérapolturev,lerapolturev,莱锐妥若,2430048-02-3,pl125
lexanersenum,lexanersen,lexanersen,lexanersén,来卡那生,2073015-40-2,pl125
ligufalimabum,ligufalimab,ligufalimab,ligufalimab,莱法利单抗,2428381-55-7,pl125
lisaftoclaxum,lisaftoclax,lisaftoclax,lisaftoclax,利沙托克拉,2180923-05-9,pl125
livmoniplimabum,livmoniplimab,livmoniplimab,livmoniplimab,莱莫尼利单抗,2412004-88-5,pl125
lixadesiranum,lixadesiran,lixadésiran,lixadesirán,利沙司兰,1152798-49-6,pl125
lomtegovimabum,lomtegovimab,lomtégovimab,lomtegovimab,洛替韦单抗,2550869-33-3,pl125
lorigerlimabum,lorigerlimab,lorigerlimab,lorigerlimab,洛瑞格利单抗,2416595-46-3,pl125
lotazadromcelum,lotazadromcel,lotazadromcel,lotazadromcel,洛它阿托赛,,pl125
lufepirsenum,lufepirsen,lufépirsen,lufepirsén,卢非哌生,287122-58-1,pl125
lufotrelvirum,lufotrelvir,lufotrelvir,lufotrelvir,卢夫特韦,2447131-70-4,pl125
luxeptinibum,luxeptinib,luxeptinib,luxeptinib,鲁可替尼,1616428-23-9,pl125
manfidokimabum,manfidokimab,manfidokimab,manfidokimab,曼多奇单抗,2428381-56-8,pl125
mazorelvimabum,mazorelvimab,mazorelvimab,mazorelvimab,玛佐瑞韦单抗,2056881-92-4,pl125
mezigdomidum,mezigdomide,mézigdomide,mezigdomida,美泽度胺,2259648-80-9,pl125
mivorilanerum,mivorilaner,mivorilaner,mivorilaner,米伏拉纳,1414642-93-5,pl125
morponidazolum,morponidazole,morponidazole,morponidazol,吗啉硝唑,92478-27-8,pl125
movronersenum,movronersen,movronersen,movronersén,莫罗那生,2411937-33-0,pl125
mupadolimabum,mupadolimab,mupadolimab,mupadolimab,莫帕利单抗,2451856-97-4,pl125
nafimestrocelum,nafimestrocel,nafimestrocel,nafimestrocel,那非迈托赛,,pl125
nizaracianinum,nizaracianine,nizaracianine,nizaracianina,尼扎昔宁,1239619-02-3,pl125
nofazinlimabum,nofazinlimab,nofazinlimab,nofazinlimab,诺法利单抗,2377845-98-0,pl125
obefazimodum,obefazimod,obéfazimod,obefazimod,奥贝莫德,1258453-75-6,pl125
ocedurenonum,ocedurenone,océdurénone,ocedurenona,奥昔利酮,1359969-24-6,pl125
odatroltidum,odatroltide,odatroltide,odatroltida,奥达丘肽,1639303-73-3,pl125
olezarsenum,olezarsen,olezarsen,olezarsén,奥来泽生,2097587-83-0,pl125
omilancorum,omilancor,omilancor,omilancor,奥米兰可,1912399-75-7,pl125
omzotiromum,omzotirome,omzotirome,omzotiroma,奥唑替罗,1092551-88-6,pl125
onternabezum,onternabez,onternabez,onternabez,昂特纳贝,256934-39-1,pl125
orenetidum,orenetide,orénétide,orenetida,奥瑞奈肽,1124168-43-9,pl125
ormutivimabum,ormutivimab,ormutivimab,ormutivimab,奥木替韦单抗,2376210-48-7,pl125
pegipanerminum,pegipanermin,péguipanermine,pegipanermina,培吉奈明,2489785-77-3,pl125
pegloxenatidum,pegloxenatide,pégloxénatide,pegloxenatida,培洛塞那肽,2420483-82-3,pl125
pegmolesatidum,pegmolesatide,pegmolésatide,pegmolesatida,培莫沙肽,2420483-81-2,pl125
pegsitacianinum,pegsitacianine,pegsitacianine,pegsitacianina,培司昔宁,2396651-85-5,pl125
pirtobrutinibum,pirtobrutinib,pirtobrutinib,pirtobrutinib,匹妥布替尼,2101700-15-4,pl125
pivekimabum,pivekimab,pivékimab,pivekimab,匹维奇单抗,1152798-48-5,pl125
pruxelutamidum,pruxelutamide,pruxélutamide,pruxelutamida,普克鲁胺,1398046-21-3,pl125
pulocimabum,pulocimab,pulocimab,pulocimab,普络西单抗,2428381-49-9,pl125
quisovalimabum,quisovalimab,quisovalimab,quisovalimab,奎索利单抗,2427667-03-4,pl125
rebemadlinum,rebemadlin,rébémadline,rebemadlina,瑞贝德林,675576-98-4,pl125
rencofilstatum,rencofilstat,rencofilstat,rencofilstat,瑞可菲司他,1383420-08-3,pl125
riletamotidum,riletamotide,rilétamotide,riletamotida,利来莫肽,524061-04-9,pl125
rimteravimabum,rimteravimab,rimtéravimab,rimteravimab,瑞特韦单抗,2540797-21-3,pl125
rocatinlimabum,rocatinlimab,rocatinlimab,rocatinlimab,诺卡替利单抗,2431972-52-8,pl125
romlusevimabum,romlusevimab,romlusévimab,romlusevimab,罗米司韦单抗,2509447-08-7,pl125
ropsacitinibum,ropsacitinib,ropsacitinib,ropsacitinib,罗昔替尼,2127109-84-4,pl125
rovanersenum,rovanersen,rovanersen,rovanersén,罗伐那生,2248030-85-3,pl125
rugonersenum,rugonersen,rugonersen,rugonersén,鲁格那生,2591587-57-2,pl125
rulonilimabum,rulonilimab,rulonilimab,rulonilimab,洛奈利单抗,2417124-95-7,pl125
rusfertidum,rusfertide,rusfertide,rusfertida,鲁司菲肽,1628323-80-7,pl125
ruzinuradum,ruzinurad,ruzinurad,ruzinurad,鲁兹诺雷,1638327-48-6,pl125
sabizabulinum,sabizabulin,sabizabuline,sabizabulina,沙泊布林,1332881-26-1,pl125
sebetralstatum,sebetralstat,sébétralstat,sebetralstat,色贝阿司他,1933514-13-6,pl125
selnoflastum,selnoflast,selnoflast,selnoflast,塞诺司特,2260969-36-4,pl125
simridarlimabum,simridarlimab,simridarlimab,simridarlimab,斯瑞利单抗,2378862-90-7,pl125
simufilamum,simufilam,simufilam,simufilam,西莫非兰,1224591-33-6,pl125
sirexatamabum,sirexatamab,sirexatamab,sirexatamab,司瑞妥单抗,2414962-49-3,pl125
sirpiglenastatum,sirpiglenastat,sirpiglénastat,sirpiglenastat,色匹谷司他,2079939-05-0,pl125
socazolimabum,socazolimab,socazolimab,socazolimab,索卡佐利单抗,2305043-30-3,pl125
