latin,english,french,spanish,chinese,cas,pl_list
piprocurarii iodilum,piprocurarium iodide,iodure de piprocurarium,ioduro de piprocurario,哌库碘铵,,pl11
prampinum,prampine,prampine,prampina,普兰品,,pl11
pseudoephedrinum,pscudoephedrine,,,,,pl11
pyrophendanum,pyrophendane,pyrophendane,pirofendano,吡咯芬登,,pl11
pyroxaminum,pyroxaminc,pyroxamine,piroxamina,,,pl11
quinethazonum,quinethazone,quinéthazone,quinetazona,喹乙宗,,pl11
rolitetracyclinum,rolitetracycline,rolitétracycline,rolitetraciclina,罗利环素,,pl11
salazosulfadimidinum,salazosulfadimidine,salazosulfadimidine,salazosulfadimidina,柳氮磺嘧啶,,pl11
spironolactonum,spironolactone,spironolactone,espironolactona,螺内酯,,pl11
sulfamonomethoxinum,sulfamonomethoxine,sulfamonométhoxine,sulfamonometoxina,磺胺间甲氧嘧啶,,pl11
tctrabenazinum,tctrabenazinc,,,,,pl11
thiethylperazinum,thicthylperazine,thiéthylpérazine,tietilperazina,,,pl11
thiofuradenum,thiofuradenc,thiofuradène,tiofuradeno,,,pl11
thiramum,thiram,thirame,tiramo,塞仑,,pl11
tranylcyprominum,tranylcyprominc,tranylcypromine,tranilcipromina,,,pl11
trichlormethiazidum,trichlormethiazide,trichlorméthiazide,triclormetiazida,三氯噻嗪,,pl11
trichlormethinum,trichlormethine,trichlorméthine,triclormetina,三氯氮芥,,pl11
trimccainum,trimecainc,,,,,pl11
trimethoprimum,trimcthoprim,triméthoprime,trimetoprima,,,pl11
triparanolum,triparanol,triparanol,triparanol,曲帕拉醇,,pl11
tropenzilini bromidum,tropenziline bromide,bromure de tropenziline,bromuro de tropenzolina,溴托齐林,,pl11
tropicamidum,tropicamide,tropicamide,tropicamida,托吡卡胺,,pl11
valnoctamidum,valnoctamidc,valnoctamide,valnoctamida,,,pl11
xenthioratum,xenthiorate,xenthiorate,xentiorato,珍替奥酯,,pl11
xenygloxalum,tri(2-chlorocthyl)aminc,ène,xenigloxal,,,pl11
cainum,caine,,,,,pl11
sulfonum,sulfone,,,,,pl11
quinum,quinc,,,,,pl11
crinum,crine,,,,,pl11
dionum,dione,,,,,pl11
toinum,toin,toïne,,,,pl11
stigminum,stigmine,,,,,pl11
acetohexamidum,acetohexamide,acétohexamide,acetohexamida,醋酸己脲,,pl12
acidum aminocaproicum,aminocaproic acid,acide aminocaproïque,ácido aminocapróico,氨基己酸,,pl12
acidum foscolicum,foscolic acid,acide foscolique,ácido foscólico,膦乳酸,,pl12
aconiazidum,aconiazide,aconiazide,aconiazida,阿考烟肼,,pl12
amfecloralum,amfecloral,amfécloral,anfecloral,安非氯醛,,pl12
amfomycinum,amfomycin,amfomycine,anfomicina,安福霉素,,pl12
angiotensinamidum,angiotensinamide,angiotensinamide,angiotensinamida,血管紧张素胺,,pl12
aprofenum,aprofene,aprofène,aprofeno,阿普罗芬,,pl12
atropin oxydum,atropine oxide,atropine oxyde,óxido de atropina,氧阿托品,,pl12
azatepum,azatcpa,azatépa,azatepa,,,pl12
azathioprinum,azathioprine,azathioprine,azatioprina,硫唑嘌呤,,pl12
bamipinum,bamipine,bamipine,bamipina,巴米品,,pl12
bendazolum,bendazol,bendazol,bendazol,地巴唑,,pl12
benzindopyrinum,benzindopyrine,benzindopyrine,bencindopirina,苄吲吡林,,pl12
benzopyrronii bromidum,benzopyrronium bromide,bromure de benzopyrronium,bromuro de benzopirronio,苯吡溴铵,,pl12
benzpiperylonum,benzpiperylone,benzpipérylone,benzpiperilona,苄哌立隆,,pl12
bibenzonii bromidum,bibenzonium bromide,bromure de bibenzonium,bromuro de bibenzonio,比苯溴铵,,pl12
bromchlorenonum,bromchlorenone,bromchlorénone,bromclorenona,溴氯唑酮,,pl12
brometenaminum,brometenamine,brométénamine,brometenamina,溴美那明,,pl12
bromindionum,bromindione,bromindione,bromindiona,溴茚二酮,,pl12
broxaldinum,broxaldine,broxaldine,broxaldina,溴沙定,,pl12
broxyquinolinum,broxyquinoline,broxyquinoline,broxiquinolina,溴羟喹啉,,pl12
bucetinum,bucetin,bucétine,bucetina,布西丁,,pl12
butamoxanum,butamoxane,butamoxane,butamoxano,布他莫生,,pl12
butynaminum,butynamine,butynamine,butinamina,布替那明,,pl12
camylofinum,camylofin,camylofine,camilofina,卡米罗芬,,pl12
capreomycinum,capreomycin,capréomycine,capreomicina,卷曲霉素,,pl12
carfenazinum,carfenazine,carfénazine,carfenazina,卡奋乃静,,pl12
cetoximum,cetoxime,cétoxime,cetoxima,西托肟,,pl12
chloracyzinum,chloracyzine,chloracyzine,cloracizina,氯拉西嗪,,pl12
chloralodolum,chloralodol,chloralodol,cloralodol,氯醛己醇,,pl12
chlorproethazinum,chlorproethazine,chlorproéthazine,clorproetazina,氯丙沙嗪,,pl12
chlortaliddonum,chlortalidone,chlortalidone,clortalidona,氯噻酮,,pl12
cintramidum,cintramide,cintramide,cintramida,辛曲胺,,pl12
clofedanolum,clofedanol,clofédanol,clofedanol,氯苯达诺,,pl12
clofenetaminum,clofenetamin,clofénétamine,clofenetamina,,,pl12
clometocillinum,clometocillin,clométocilline,clometocilina,氯甲西林,,pl12
clomifenum,clomifene,clomifène,clomifeno,氯米芬,,pl12
clopenthixolum,clopenthixol,clopenthixol,clopentixol,氯哌噻吨,,pl12
cyclobutyrolum,cyclobutyrol,cyclobutyrol,ciclobutirol,环丁酸醇,,pl12
cyclopenthiazidum,cyclopenthiazide,cyclopenthiazide,ciclopentiazida,环戊噻嗪,,pl12
cyclopyrronii bromidum,cyclopyrronium bromide,bromure de cyclopyrronium,bromuro de ciclopirronio,环吡溴铵,,pl12
cyclothiazidum,cyclothiazide,cyclothiazide,ciclotiazida,环噻嗪,,pl12
defosfamidum,defosfamide,défosfamide,defosfamida,地磷酰胺,,pl12
deptropinum,deptropine,deptropine,deptropina,地普托品,,pl12
dextrothyroxinum natricum,sodium dextrothyroxine,dextrothyroxine sodique,dextrotiroxina de sodio,,,pl12
diazcpamum,diazepam,,,,,pl12
diazoxidum,diazoxide,diazoxide,diazóxido,二氮嗪,,pl12
difencloxazinum,difencloxazine,difencloxazine,difencloxazina,二苯沙秦,,pl12
dimethadionum,dimethadione,diméthadione,dimetadiona,二甲双酮,,pl12
dioxamatum,dioxamate,dioxamate,dioxamato,地奥氨酯,,pl12
diprofenum,diprofene,diprofène,diprofeno,地普罗芬,,pl12
disopyramidum,disopyramide,disopyramide,disopiramida,丙吡胺,,pl12
droxypropinum,droxypropine,droxypropine,droxipropina,羟普罗平,,pl12
dydrogesteronum,dydrogesterone,dydrogestérone,didrogesterona,地屈孕酮,,pl12
epiestriolum,epiestriol,épiestriol,epiestriol,表雌三醇,,pl12
epipropidinum,epipropidine,épipropidine,epipropidina,依匹哌啶,,pl12
etaminilum,etaminile,étaminile,etaminilo,依他米尼,,pl12
etamivanum,etamivan,étamivan,etamiván,香草二乙胺,,pl12
etebenecidum,etebenecid,étébénécide,etebenecida,乙磺舒,,pl12
ethomoxanum,ethomoxane,éthomoxane,etomoxano,乙氧莫生,,pl12
etryptaminum,etryptamine,étryptamine,etriptamina,乙色胺,,pl12
etybenzatropinum,etybenzatropine,étybenzatropine,etibenzatropina,乙苯托品,,pl12
febarbamatum,febarbamate,fébarbamate,febarbamato,非巴氨酯,,pl12
fenadiazolum,fenadiazole,fénadiazol,fenadiazol,酚二唑,,pl12
fenbutrazatum,fenbutrazate,fenbutrazate,fenbutrazato,芬布酯,,pl12
fencamfaminum,fencamfamin,fencamfamine,fencanfamina,芬坎法明,,pl12
fenoxazolinum,fenoxazoline,fénoxazoline,fenoxazolina,非诺唑啉,,pl12
fenoxypropazinum,fenoxypropazine,fénoxypropazine,fenoxipropazina,苯氧丙肼,,pl12
fenyramidolum,fenyramidol,fényramidol,feniramidol,非尼拉多,,pl12
fludroxycortidum,fludroxycortide,fludroxycortide,fludroxicortida,氟氢缩松,,pl12
fluoresonum,fluoresone,fluorésone,fluoresona,氟苯乙砜,,pl12
fluroxenum,floroxene,fluroxène,fluroxeno,,,pl12
ftivazidum,ftivazide,ftivazide,ftivazida,异烟腙,,pl12
ganglefenum,ganglefene,ganglefène,ganglefeno,更利芬,,pl12
glycopyrronii bromidum.,glycopyrronium bromide,bromure de glycopyrronium,bromuro de glicopirronio,格隆溴铵,,pl12
glycyclamidum,glycyclamide,glycyclamide,gliciclamida,格列环脲,,pl12
glysobuzolum,glysobuzole,glysobuzole,glisobuzol,格列布唑,,pl12
haletazolum,haletazole,halétazole,haletazol,哈利他唑,,pl12
heptolamidum,heptolamide,heptolamide,heptolamida,海托磺脲,,pl12
hexafluronii bromidum,bexafluronium bromide,bromure d'hexafluronium,bromuro de hexafluronio,,,pl12
hexapradolum,hexapradol,hexapradol,hexapradol,己普拉醇,,pl12
indopinum,indopine,indopine,indopina,吲哚平,,pl12
iofendylatum,lofendylate,iofendylate,iofendilato,,,pl12
isopropicillinum,isopropicillm,isopropicilline,isopropicilina,,,pl12
levamfetaminum,levamfetamine,lévamfétamine,levanfetamina,左苯丙胺,,pl12
levopropicillinum,levopropicillin,lévopropicilline,levopropicilina,左普匹西林,,pl12
mebutamatum,mebutamate,mébutamate,mebutamato,美布氨酯,,pl12
mecloqualonum,mecloqualone,mécloqualone,meclocualona,甲氯喹酮,,pl12
mefeclorazinum,mefeclorazine,méféclorazine,mefeclorazina,美非氯嗪,,pl12
melarsonylum kalicum,melarsonyl potassium,mélarsonyl potassique,melarsonilo de potasio,美拉胂钾,,pl12
meractinomycinum,meractinomycin,,,,,pl12
mestranolum,mestranol,mestranol,mestranol,美雌醇,,pl12
metacyclinum,metacycline,métacycline,metaciclina,美他环素,,pl12
metaglycodolum,metaglycodol,métaglycodol,metaglicodol,美他二醇,,pl12
metamfazonum,metamfazone,métamfazone,metanfazona,美坦法宗,,pl12
metandienonum,metandienone,métandiénone,metandienona,美雄酮,,pl12
metenolonum,metenolone,méténolone,metenolona,美替诺龙,,pl12
metetoinum,metetoin,mététoïne,metetoína,美替妥英,,pl12
methyldopum,methyldopa,méthyldopa,metildopa,甲基多巴,,pl12
meticillinum,meticillin,méticilline,meticilina,甲氧西林,,pl12
metofolinum,metofoline,métofoline,metofolina,甲氧夫啉,,pl12
morazonum,morazonc,morazone,morazona,,,pl12
moroxydinum,moroxydine,moroxydine,moroxidina,吗啉胍,,pl12
nanofinum,nanofin,nanofine,nanofina,那诺芬,,pl12
nicocodinum,nicocodine,nicocodine,nicocodina,尼可待因,,pl12
noracymethadolum,noracymethadol,noracyméthadol,noracimetadol,诺美沙多,,pl12
nortriptylinum,nortriptyline,nortriptyline,nortriptilina,去甲替林,,pl12
noxytiolinum,noxytiolin,noxytioline,noxitiolina,诺昔硫脲,,pl12
opiniazidum,opiniazide,opiniazide,opiniazida,奥匹烟肼,,pl12
oxandrolonum,oxandrolone,oxandrolone,oxandrolona,氧雄龙,,pl12
oxymesteronum,oxymesterone,oxymestérone,oximesterona,羟甲睾酮,,pl12
oxypertinum,oxypertine,oxypertine,oxipertina,奥昔哌汀,,pl12
paramethasonum,paramethasone,paraméthasone,parametasona,帕拉米松,,pl12
pemolinum,pemoline,,,,,pl12
penicillaminum,penicillamine,pénicillamine,penicilamina,青霉胺,,pl12
pentamoxanum,pentamoxane,pentamoxane,pentamoxano,喷他莫生,,pl12
pipacyclinum,pipacycline,pipacycline,pipaciclina,匹哌环素,,pl12
pipazetatum,pipazetate,pipazétate,pipazetato,匹哌氮酯,,pl12
polynoxylinum,polynoxylin,polynoxyline,polinoxilina,聚诺昔林,,pl12
polythiazidum,polythiazide,polythiazide,politiazida,泊利噻嗪,,pl12
prenylaminum,prenylamine,prénylamine,prenilamina,普尼拉明,,pl12
pridinolum,pridinol,pridinol,pridinol,普立地诺,,pl12
pristinamycinum,pristinamycine,pristinamycine,pristinamicina,,,pl12
prodilidinum,prodilidine,prodilidine,prodilidina,普地利定,,pl12
propinetidinum,propinetidine,propinétidine,propinetidina,丙哌替定,,pl12
propyromazinum,propyromazine,,,,,pl12
psilocybinum,psilocybine,psilocybine,psilocibina,赛洛西宾,,pl12
pyritinolum,pyritinol,pyritinol,piritinol,吡硫醇,,pl12
rofluranum,roflurane,roflurane,roflurano,罗氟烷,,pl12
rufocromomycinum,rufocromomycine,rufocromomycine,rufocromomicina,,,pl12
secbutabarbitalum,secbutabarbital,secbutabarbital,secbutabarbital,仲丁比妥,,pl12
solypertinum,solypertine,solypertine,solipertina,索立哌汀,,pl12
spirazinum,spirazine,spirazine,espirazina,螺拉秦,,pl12
sulfacarbamidum,sulfacarbamide,sulfacarbamide,sulfacarbamida,磺胺脲,,pl12
sulfalenum,sulfalene,sulfalène,sulfaleno,磺胺林,,pl12
sulfametomidinum,sulfametomidine,sulfamétomidine,sulfametomidina,磺胺托嘧啶,,pl12
sulfamoxolum,sulfamoxole,sulfamoxole,sulfamoxol,磺胺唑,,pl12
sulfasymazinum,sulfasymazine,sulfasymazine,sulfasimazina,磺胺均三嗪,,pl12
symetinum,symetine,symétine,simetina,昔美汀,,pl12
teclothiazidum,teclothiazide,téclothiazide,teclotiazida,四氯噻嗪,,pl12
tefluranum,teflurane,téflurane,teflurano,替氟烷,,pl12
thiohexamidum,thiohexamide,thiohexamide,tiohexamida,甲硫己脲,,pl12
tifencillinum,tifencillin,tifencilline,tifencilina,替芬西林,,pl12
tigloidinum,tigloidine,tigloïdine,tigloidina,替格洛定,,pl12
tolazamidum,tolazamide,tolazamide,tolazamida,妥拉磺脲,,pl12
tolboxanum,tolboxane,tolboxane,tolboxano,托硼生,,pl12
tolpentamidum,tolpentamide,tolpentamide,tolpentamida,托喷磺脲,,pl12
tozalinonum,tozalinone,tozalinone,tozalinona,托扎啉酮,,pl12
triamterinum,triamterine,,,,,pl12
trimedoximum,trimedoxime,,,,,pl12
vinblastinum,vinblastine,vinblastine,vinblastina,长春碱,,pl12
vinylbitalum,vinylbital,vinylbital,vinilbital,乙烯比妥,,pl12
xanthiolum,xanthiol,xanthiol,xantiol,占噻吨,,pl12
xantocillinum,xantocillin,xantocilline,xantocilina,占托西林,,pl12
xenysalatum,xenysalate,xénysalate,xenisalato,珍尼柳酯,,pl12
tigloidinum,tigloidine,tigloïdine,tigloidina,替格洛定,,pl12
triamterenum,triamterene,triamtérène,triamtereno,氨苯蝶啶,,pl12
aceclidinum,aceclidine,acéclidine,aceclidina,醋克利定,,pl13
acetiaminum,acetiamine,acétiamine,acetiamina,乙酰硫胺,,pl13
acetryptinum,acetryptine,acétryptine,acetriptina,乙酰色胺,,pl13
acetylcysteinum,acetylcysteine,acétylcystéine,acetilcisteína,乙酰半胱氨酸,,pl13
acidum clofenamicum,clofenamic acid,acide clofénamique,ácido clofenámico,氯芬那酸,,pl13
acidum flufenamicum,flufenamic acid,acide flufénamique,ácido flufenámico,氟芬那酸,,pl13
acidum fusidicum,fusidic acid,acide fusidique,ácido fusídico,夫西地酸,,pl13
acidum fyticum,fytic acid,acide fytique,ácido fítico,植酸,,pl13
acidum iotalamicum,iotalamic acid,acide iotalamique,ácido iotalámico,碘他拉酸,,pl13
acidum kainicum,kainic acid,acide kaïnique,ácido kaínico,卡英酸,,pl13
acidum mefenamicum,mefenamic acid,acide méfénamique,ácido mefenámico,甲芬那酸,,pl13
acidum nalidixicum,nalidixic acid,acide nalidixique,ácido nalidíxico,萘啶酸,,pl13
acrisorcinum,acrisorcin,acrisorcine,acrisorcina,吖啶琐辛,,pl13
albutoinum,albutoin,albutoïne,albutoína,阿布妥因,,pl13
aloxiprinum,aloxiprin,aloxiprine,aloxiprina,阿洛普令,,pl13
altizidum,altizide,altizide,altizida,阿尔噻嗪,,pl13
amhomycinum,ambomycin,ambomycine,ambomicina,安波霉素,,pl13
amfepramonum,amfepramone,amfépramone,anfepramona,安非拉酮,,pl13
ampicillinum,ampicillin,ampicilline,ampicilina,氨苄西林,,pl13
ampyriminum,ampyrimine,ampyrimine,ampiramina,安匹立明,,pl13
anazolenum natricum,sodium anazolene,anazolène sodique,anazoleno de sodio,,,pl13
anilamatum,anilamate,anilamate,anilamato,阿尼拉酯,,pl13
argipressinum,argipressin,argipressine,argipresina,精氨加压素,,pl13
argiprestocinum,argiprestocin,argiprestocine,argiprestocina,精氨缩宫素,,pl13
azotomycinum,azotomycin,azotomycine,azotomicina,阿佐霉素,,pl13
batilolum,batilol,batilol,batilol,鲨肝醇,,pl13
benfotiaminum,benfotiamine,benfotiamine,benfotiamina,苯磷硫胺,,pl13
bentiaminum,bentiamine,bentiamine,bentiamina,苯甲硫胺,,pl13
benzaronum,benzarone,benzarone,benzarona,苯扎隆,,pl13
benzbromaronum,benzbromarone,benzbromarone,benzbromarona,苯溴马隆,,pl13
benzilonii bromidum,benzilonium bromide,bromure de benzilonium,bromuro de bencilonio,苯咯溴铵,,pl13
benzodepum,benzodep,benzodépa,benzodepa,,,pl13
benzquinamidum,benzquinamide,benzquinamide,benzquinamida,苯喹胺,,pl13
betahistinum,betahistine,bétahistine,betahistina,倍他司汀,,pl13
betanidinum,betanidine,bétanidine,betanidina,倍他尼定,,pl13
betoxycainum,betoxycaine,bétoxycaïne,betoxicaína,贝托卡因,,pl13
bisacodylum,bisacodyl,bisacodyl,bisacodilo,比沙可啶,,pl13
bisbentiaminum,bisbentiamine,bisbentiamine,bisbentiamina,双苯酰硫胺,,pl13
bolasteronum,bolasterone,bolastérone,bolasterona,勃拉睾酮,,pl13
bromacrylidum,bromacrylide,bromacrylide,bromacrilida,溴马利特,,pl13
bufenadrinum,bufenadrine,bufénadrine,bufenadrina,丁苯那胺,,pl13
butaperazinum,butaperazine,butapérazine,butaperazina,布他哌嗪,,pl13
butaverinum,butaverine,butavérine,butaverina,布他维林,,pl13
butizidum,butizide,butizide,butizida,布噻嗪,,pl13
butopiprinum,butopiprine,butopiprine,butopiprina,布托哌林,,pl13
carsalamum,carsalam,carsalam,carsalam,卡沙兰,,pl13
clefamidum,clefamnide,cléfamide,clefamida,,,pl13
clobenztropinum,clobenztropine,clobenztropine,clobenzotropina,氯苄托品,,pl13
clodacainum,clodacaine,clodacaïne,clodacaína,氯达卡因,,pl13
clodantoinum,clodantoin,clodantoïne,clodantoina,氯登妥因,,pl13
clofenamidum,clofenamide,clofénamide,clofenamida,氯非那胺,,pl13
clofibratum,clofibrate,clofibrate,clofibrato,氯贝丁酯,,pl13
clonitratum,clonitrate,clonitrate,clonitrato,氯硝甘油,,pl13
clopamidum,clopamide,clopamide,clopamida,氯帕胺,,pl13
cloralum betainum,cloral betaine,cloral bétaïne,cloral betaína,氯醛甜菜碱,,pl13
clorindionum,clorindione,clorindione,clorindiona,氯茚二酮,,pl13
cloxacillinum,cloxacillin,cloxacilline,cloxacilina,氯唑西林,,pl13
colecalciferolum,colecalciferol,colécalciférol,colecalciferol,维生素D3,,pl13
coumetarolum,coumetarol,coumétarol,cumetarol,库美香豆素,,pl13
cyamemazinum,cyamemazine,cyamémazine,ciamemazina,氰美马嗪,,pl13
cyclarbamatum,cyclarbamate,cyclarbamate,ciclarbamato,环拉氨酯,,pl13
cyclomenolum,cyclomenol,cycloménol,ciclomenol,环美酚,,pl13
cyclovalonum,cyclovalone,cyclovalone,ciclovalona,环香草酮,,pl13
desipraminum,desipramine,désipramine,desipramina,地昔帕明,,pl13
dexoxadrolum,dexoxadrol,dexoxadrol,dexoxadrol,右奥沙屈,,pl13
diclofenamidum,diclofenamide,diclofénamide,diclofenamida,双氯非那胺,,pl13
dietroxinum,dietroxine,,,,,pl13
difenidolum,difenidol,difénidol,difenidol,地芬尼多,,pl13
dimefadanum,dimefadane,diméfadane,dimefadano,二甲法登,,pl13
dimetindenum,dimetindene,dimétindène,dimetindeno,二甲茚定,,pl13
dioxadrolum,dioxadrol,dioxadrol,dioxadrol,地奥沙屈,,pl13
dipyridamolum,dipyridamole,dipyridamole,dipiridamol,双嘧达莫,,pl13
doxapramum,doxapram,doxapram,doxapram,多沙普仑,,pl13
drostanolunum,drostanolone,drostanolone,drostanolona,屈他雄酮,,pl13
duazomycinum,duazomycin,duazomycine,duazomicina,达佐霉素,,pl13
efloxatum,efloxate,éfloxate,efloxato,乙氧黄酮,,pl13
epitizidum,epitizide,épitizide,epitizida,依匹噻嗪,,pl13
ethylestrenolum,ethylestrenol,éthylestrénol,etilestrenol,乙雌烯醇,,pl13
etoxazenum,etoxazene,étoxazène,etoxazeno,依托沙秦,,pl13
etymemazinum,etymemazine,étymémazine,etimemazina,乙异丁嗪,,pl13
felypressinum,felypressin,félypressine,felipresina,苯赖加压素,,pl13
fenbenicillinum,fenbenicillin,fenbénicilline,fenbenicilina,芬贝西林,,pl13
fencarbamidum,fencarbamide,fencarbamide,fencarbamida,芬卡米特,,pl13
fenyripolum,fenyripol,fényripol,feniripol,非尼啶醇,,pl13
fluanisonum,fluanisone,fluanisone,fluanisona,氟阿尼酮,,pl13
flumetasonum,flumetasone,flumétasone,flumetasona,氟米松,,pl13
fluorouracilum,fluorouracil,fluorouracil,fluorouracilo,氟尿嘧啶,,pl13
fluperolonum,fluperolone,flupérolone,fluperolona,氟培龙,,pl13
fluprednisolonum,fluprednisolone,fluprednisolone,fluprednisolona,氟泼尼龙,,pl13
flurotylum,flurotyl,flurotyl,flurotilo,氟替尔,,pl13
furazolidonum,furazolidone,furazolidone,furazolidona,呋喃唑酮,,pl13
galantaminum,galantamine,galantamine,galantamina,加兰他敏,,pl13
glucaloxum,glucalox,glucalox,glucalox,羟甘铝,,pl13
glypinamidum,glypinamide,glypinamide,glipinamida,格列平脲,,pl13
hexadilinum,hexadiline,hexadiline,hexadilina,海沙地林,,pl13
hexamidinum,hexamidine,hexamidine,hexamidina,己脒定,,pl13
hexopyrronii bromidum,hexopyrronium bromide,bromure d'hexopyrronium,bromuro de hexopirronio,海咯溴铵,,pl13
indometacinum,indometacin,indométacine,indometacina,吲哚美辛,,pl13
iproclozidum,iproclozide,iproclozide,iproclozida,异丙氯肼,,pl13
isoetarinum,isoetarine,isoétarine,isoetarina,异他林,,pl13
kitasamycinum,kitasamycin,kitasamycine,kitasamicina,吉他霉素,,pl13
leiopyrrolum,leiopyrrole,leïopyrrole,leiopirrol,利奥吡咯,,pl13
levoglutamidum,levoglutamide,,,,,pl13
levoxadrolum,levoxadrol,lévoxadrol,levoxadrol,左沙屈尔,,pl13
lincomycinum,lincomycin,lincomycine,lincomicina,林可霉素,,pl13
lucimycinum,lucimycin,lucimycine,lucimicina,鲁西霉素,,pl13
lynestrenolum,lynestrenol,lynestrénol,linestrenol,利奈孕酮,,pl13
lypressinum,lypressin,lypressine,lipresina,赖氨加压素,,pl13
mecloxaminum,mecloxamine,mécloxamine,mecloxamina,甲氯沙明,,pl13
mecysteinum,mecysteine,mécystéine,mecisteína,美司坦,,pl13
megestrolum,megestrol,mégestrol,megestrol,甲地孕酮,,pl13
melengestrolum,melengestrol,mélengestrol,melengestrol,美仑孕酮,,pl13
menotrophinum,menotrophin,,,,,pl13
meraleinum natricum,sodium meralein,méraléine sodique,meraleína de sodio,,,pl13
meturedepum,meturedepa,méturédépa,meturedepa,美妥替哌,,pl13
metyraponum,metyrapone,métyrapone,metirapona,美替拉酮,,pl13
molinazonum,molinazone,molinazone,molinazona,吗林那宗,,pl13
morinamidum,morinamide,morinamide,morinamida,吗啉米特,,pl13
nafcillinum,nafcillin,nafcilline,nafcilina,萘夫西林,,pl13
naloxonum,naloxone,naloxone,naloxona,纳洛酮,,pl13
niclosamidum,niclosamide,niclosamide,niclosamida,氯硝柳胺,,pl13
nonapyriminum,nonapyrimine,nonapyrimine,nonapirimina,诺那吡胺,,pl13
noretynodrelum,noretynodrel,norétynodrel,noretinodrel,异炔诺酮,,pl13
octotiaminum,octotiamine,octotiamine,octotiamina,奥托硫胺,,pl13
ortetaminum,ortetamine,ortétamine,ortetamina,奥替他明,,pl13
oxazepamum,oxazepam,,,,,pl13
oxetacainum,oxetacaine,oxétacaïne,oxetacaína,奥昔卡因,,pl13
oxomemazinum,oxomemazine,oxomémazine,oxomemazina,奥索马嗪,,pl13
oxonazinum,oxonazine,oxonazine,oxonazina,氧那嗪,,pl13
oxybutyninum,oxybutynin,oxybutynine,oxibutinina,奥昔布宁,,pl13
oxyclipinum,oxyclipine,oxyclipine,oxiclipina,奥昔利平,,pl13
oxyfenamatum,oxyfenamate,oxyfénamate,oxifenamato,奥芬氨酯,,pl13
oxymetazolinum,oxymetazoline,oxymétazoline,oximetazolina,羟甲唑啉,,pl13
oxypendylum,oxypendyl,oxypendyl,oxipendilo,奥昔喷地,,pl13
oxypyrronii bromidum,oxypyrronium bromide,bromure d'oxypyrronium,bromuro de oxipirronio,羟吡溴铵,,pl13
oxytocinum,oxytocin,oxytocine,oxitocina,缩宫素,,pl13
pargylinum,pargyline,pargyline,pargilina,帕吉林,,pl13
paxamatum,paxamate,paxamate,paxamato,帕沙马酯,,pl13
pentabamatum,pentabamate,pentabamate,pentabamato,喷他氨酯,,pl13
pentalamidum,pentalamide,pentalamide,pentalamida,喷他胺,,pl13
periciazinum,periciazine,périciazine,periciazina,哌氰嗪,,pl13
picloxydinum,picloxydine,picloxydine,picloxidina,哌氯定,,pl13
pimetinum,pimetine,pimétine,pimetina,匹美汀,,pl13
prednisolamatum,prednisolamate,prednisolamate,prednisolamato,泼尼索酯,,pl13
prednylidenum,prednylidene,prednylidène,prednilideno,泼尼立定,,pl13
propetandrolum,propetandrol,propétandrol,propetandrol,普罗雄醇,,pl13
propicillinum,propicillin,propicilline,propicilina,丙匹西林,,pl13
prosultiaminum,prosultiamine,prosultiamine,prosultiamina,丙舒硫胺,,pl13
pyrrocainum,pyrrocaine,pyrrocaïne,pirrocaína,吡咯卡因,,pl13
quingestronum,quingestrone,quingestrone,quingestrona,奎孕酮,,pl13
renytolinum,renytoline,rénytoline,renitolina,瑞尼托林,,pl13
rifamnycinum,rifamycin,rifamycine,rifamicina,利福霉素,,pl13
sparsomycinum,sparsomycin,sparsomycine,esparsomicina,司帕霉素,,pl13
sparteinum,sparteine,spartéine,esparteína,司巴丁,,pl13
spectinomycinum,spectinomycin,spectinomycine,espectinomicina,大观霉素,,pl13
stilbazii iodidum,stilbazium iodide,iodure de stilbazium,ioduro de estilbazio,司替碘铵,,pl13
streptoniazidum,streptoniazid,streptoniazide,estreptoniazida,链异烟肼,,pl13
sucraloxum,sucralox,sucralox,sucralox,羟糖铝,,pl13
sultiamum,sultiame,sultiame,sultiamo,舒噻美,,pl13
teclozanum,teclozan,téclozan,teclozán,替克洛占,,pl13
tiabendazolum,tiabendazole,tiabendazol,tiabendazol,噻苯达唑,,pl13
tiemondii iodidum,tiemonium iodide,iodure de tiémonium,ioduro de tiemonio,替莫碘胺,,pl13
tifenamiium,tifenamil,tifénamil,tifenamilo,替芬那米,,pl13
tolpropaminum,tolpropamine,tolpropamine,tolpropamina,托普帕敏,,pl13
tolpyrramidum,tolpyrramide,tolpyrramide,tolpirramida,甲苯磺吡胺,,pl13
triclofosum,triclofos,triclofos,triclofós,三氯福司,,pl13
trimetamidum,trimetamide,trimétamide,trimetamida,曲美吡胺,,pl13
trimipraminum,trimipramine,trimipramine,trimipramina,曲米帕明,,pl13
trometamolum,trometamol,trométamol,trometamol,氨丁三醇,,pl13
tyloxapolum,tyloxapol,tyloxapol,tiloxapol,泰洛沙泊,,pl13
uramustinum,uramustine,uramustine,uramustina,乌拉莫司汀,,pl13
uredepum,uredepa,urédépa,uredepa,乌瑞替派,,pl13
vinleurosinum,vinleurosine,vinleurosine,vinleurosina,长春罗新,,pl13
vinleurosinum,vinleurosine,vinleurosine,vinleurosina,长春罗新,,pl13
vinrosidinum,vinrosidine,vinrosidine,vinrosidina,长春罗定,,pl13
vinrosidinum,vinrosidine,vinrosidine,vinrosidina,长春罗定,,pl13
